codigo,title,fecha_sol_inicio,fecha_sol_fin,IP,estado
C/2025/359,Formación en Alternancia de investigación. Proyecto Manipulador móvil avanzado de bibrazo para asistencia de personas mayores. - AMME.,17/09/2025,23/09/2025,"BARBER CASTAÑO, RAMON IGNACIO",INICIAL
C/2025/357,Personal de Actividades Científico-Técnicas. Proyecto Longevidad 360º: Análisis de áreas super longevas para un envejecimiento con propósito en España.,16/09/2025,22/09/2025,"DURBAN REGUERA, MARIA LUZ",INICIAL
C/2025/358,Personal de Actividades Científico-Técnicas. Proyecto Polarización y negociaciones políticas en un mundo cambiante.,16/09/2025,22/09/2025,"LOEPER, ANTOINE",INICIAL
C/2025/356,Personal de Actividades Científico-Técnicas. Proyecto Programa de Investigación en Entresuelas basadas en Metamateriales para Deporte y Running (PRODEM-CM-UC3M),15/09/2025,19/09/2025,"FUENTES DEL TORO, SERGIO",INICIAL
C/2025/355,Formación en Alternancia de investigación. Proyecto Acción Estratégica en SEGURIDAD VIAL.,15/09/2025,19/09/2025,"SAN ROMAN GARCIA, JOSE LUIS",INICIAL
C/2025/354,Personal de Actividades Científico-Técnicas. Proyecto LA OTRA CARA DE LA SEGREGACIÓN: HOMBRES EN OCUPACIONES CON PREDOMINIO DE MUJERES. -  GENDERSEG,12/09/2025,18/09/2025,"TORRE FERNANDEZ, MARGARITA",INICIAL
C/2025/353,Personal de Actividades Científico-Técnicas. Proyecto Estudio experimental y numérico de flujos reactivos y no reactivos.,11/09/2025,17/09/2025,"SANCHEZ SANZ, MARIO",INICIAL
C/2025/352,Técnico de Apoyo a la Investigación. Proyecto Prevención de reCAídas en tRastornos dE conducta. - PreCARE,09/09/2025,15/09/2025,"ARTES RODRIGUEZ, ANTONIO",EN PROCESO
C/2025/350,Personal de Actividades Científico-Técnicas. Doctor. Proyecto FAIR-RT - Soluciones equitativas para una implementación clínica de la inteligencia artificial en el flujo de trabajo de Radioterapia.,08/09/2025,12/09/2025,"PASCAU GONZALEZ GARZON, JAVIER",SUBSANACIONES
C/2025/351,Personal de Actividades Científico-Técnicas. Proyecto DISCO6G-CM - Desarrollo e Integración de Sensores y Comunicaciones para servicios avanzados en 6G- Grupo de Redes y Servicios de Comunicaciones (NETCOM-UC3M).,04/09/2025,10/09/2025,"BERNARDOS CANO, CARLOS JESUS",EN PROCESO
C/2025/349,Personal de Actividades Científico-Técnicas. Proyecto SEGVAUTO5G-CM - SEGVAUTO 5Gen. Innovando para la movilidad del futuro.,04/09/2025,10/09/2025,"ARMINGOL MORENO, JOSE MARIA",EN PROCESO
C/2025/345,"Técnico de Apoyo a la Investigación. Proyecto Tecnologías Avanzadas de Test, Ensamblaje y Encapsulado de Circuitos Integrados Electrónicos y Fotónicos - EPIC-Pack",03/09/2025,09/09/2025,"CARPINTERO DEL BARRIO, GUILLERMO",EN PROCESO
C/2025/346,Personal de Actividades Científico-Técnicas. Proyecto SOFIA-AIR - Comunicaciones inalámbricas y Sensado pOr medio de diseños Flexibles usando Inteligencia y Algoritmos (SOFIA),03/09/2025,09/09/2025,"GIL JIMENEZ, VICTOR PEDRO",SUBSANACIONES
C/2025/327,Personal de Actividades Científico-Técnicas. Proyecto Bringing AI to the Discovery of Historiographical Data to Overcome Traditional Barriers (BADDO-CM-UC3M),02/09/2025,08/09/2025,"CALLEJO PINARDO, PATRICIA",EN PROCESO
C/2025/347,Personal de Actividades Científico-Técnicas. Proyecto AI4ONCOIM - Plataforma de Inteligencia Artificial para estudios de imagen microscópica en oncología,02/09/2025,08/09/2025,"MUÑOZ BARRUTIA, MARIA ARRATE",EN PROCESO
C/2025/348,Personal de Actividades Científico-Técnicas. Proyecto AI4ONCOIM - Plataforma de Inteligencia Artificial para estudios de imagen microscópica en oncología,02/09/2025,08/09/2025,"MUÑOZ BARRUTIA, MARIA ARRATE",EN PROCESO
C/2025/326,Personal de Actividades Científico-Técnicas. Proyecto IMPAD: Modelado de aprendizaje automático incremental para el diseño y la aerodinámica de hélices.,08/08/2025,14/08/2025,"CASTELLANOS GARCIA DE BLAS, RODRIGO",EN PROCESO
C/2025/342,Formación en Alternancia de investigación. Proyecto Cátedra Universidad-Empresa EPIQ: Circuitos electrónicos y fotónicos Integrados para tecnologías cuánticas.,08/08/2025,14/08/2025,"DIOS FERNANDEZ, CRISTINA DE",EN PROCESO
C/2025/343,Formación en Alternancia de investigación. Proyecto Cátedra Universidad-Empresa EPIQ: Circuitos electrónicos y fotónicos Integrados para tecnologías cuánticas.,08/08/2025,14/08/2025,"DIOS FERNANDEZ, CRISTINA DE",EN PROCESO
C/2025/344,Personal de Actividades Científico-Técnicas. Proyecto Nuevos paradigmas en robótica social (NuPaRoS).,08/08/2025,14/08/2025,"CASTILLO MONTOYA, JOSE CARLOS",EN PROCESO
C/2025/338,Personal de Actividades Científico-Técnicas. Proyecto Financiación adicional del investigador Fernando Naya dentro del programa RYC 2022,07/08/2025,13/08/2025,"NAYA MONTANS, FERNANDO",EN PROCESO
C/2025/341,Formación en Alternancia de investigación. Proyecto Cátedra Universidad-Empresa EPIQ: Circuitos electrónicos y fotónicos Integrados para tecnologías cuánticas.,07/08/2025,13/08/2025,"DIOS FERNANDEZ, CRISTINA DE",EN PROCESO
C/2025/337,Personal de Actividades Científico-Técnicas. Proyecto Caracterización y Desarrollo de Aplicaciones Technologicas para LEDs de Perovskita de Haluro -PLEDs-CAP,07/08/2025,13/08/2025,"VERGAZ BENITO, RICARDO",EN PROCESO
C/2025/335,Personal de Actividades Científico-Técnicas (Doctor). Proyecto HARMONIC-AIRIS - Diseño y desarrollo de módulos receptores híbridos en la banda de SubTHz en Si para comunicaciones 6G: antenas activas y superficies. inteligentes reconfigurables (RIS),06/08/2025,12/08/2025,"SEGOVIA VARGAS, DANIEL",EN PROCESO
C/2025/330,Personal de Actividades Científico-Técnicas. Proyecto Estudio de terapias coadyuvantes para superar la resistencia al tratamiento con gemcitabina en cáncer pancreático (GEMRESIS).,04/08/2025,08/08/2025,"RIO HERNANDEZ, ARMANDO EMETERIO DEL",EN PROCESO
C/2025/331,Personal de Actividades Científico-Técnicas. Proyecto Estudio de terapias coadyuvantes para superar la resistencia al tratamiento con gemcitabina en cáncer pancreático (GEMRESIS).,04/08/2025,08/08/2025,"RIO HERNANDEZ, ARMANDO EMETERIO DEL",EN PROCESO
C/2025/332,Personal de Actividades Científico-Técnicas. Proyecto Estudio de terapias coadyuvantes para superar la resistencia al tratamiento con gemcitabina en cáncer pancreático (GEMRESIS).,04/08/2025,08/08/2025,"RIO HERNANDEZ, ARMANDO EMETERIO DEL",EN PROCESO
C/2025/325,"Personal de actividades científico-técnicas. Proyecto Skill-biased technical change, labor resistance and productivity. Within-firm evidence from the 19th century cotton textile industry.",31/07/2025,06/08/2025,"DOMENECH FELIU, JORDI",EN PROCESO
C/2025/320,Personal de Actividades Científico-Técnicas. Proyecto Desarrollo de sistemas de entrenamiento clínico mediante fabricación aditiva 3D para detección y prevención de complicaciones en el parto aplicando técnicas de IA (SAFEDELIVERY-CM-UC3M).,29/07/2025,04/08/2025,"GARCIA SEVILLA, MONICA",EN PROCESO
C/2025/319,Personal de Actividades Científico-Técnicas. Proyecto HUELLA: Horizonte Europa-UC3M. Enfoque de Ampliación y Sostenibilidad de la Participación.,28/07/2025,01/08/2025,"GARCIA MUÑOZ, LUIS ENRIQUE",EN PROCESO
C/2025/315,Técnico de Apoyo a la Investigación. Proyecto Prevención de reCAídas en tRastornos dE conducta. - PreCARE.,24/07/2025,05/09/2025,"ARTES RODRIGUEZ, ANTONIO",SUBSANACIONES
C/2025/313,Formación en Alternancia de investigación. Proyecto Acción Estratégica en Sistemas on Chip Heterogéneos Tolerantes a Radiación,23/07/2025,30/07/2025,"ENTRENA ARRONTES, LUIS ALFONSO",EN PROCESO
C/2025/270,"Técnico de Apoyo a la Investigación. Proyecto Detección, monitoreo y protección de las ciber amenazas. Alfabetización social en ciberseguridad. - CYBERTHREAT",04/07/2025,10/07/2025,"GUILLAMON SAORIN, ENCARNACION",EN PROCESO
C/2025/269,"Técnico de Apoyo a la Investigación. Proyecto Detección, monitoreo y protección de las ciber amenazas. Alfabetización social en ciberseguridad. - CYBERTHREAT",04/07/2025,10/07/2025,"GUILLAMON SAORIN, ENCARNACION",EN PROCESO
C/2025/268,"Técnico de Apoyo a la Investigación. Proyecto Detección, monitoreo y protección de las ciber amenazas. Alfabetización social en ciberseguridad. - CYBERTHREAT",04/07/2025,10/07/2025,"GUILLAMON SAORIN, ENCARNACION",EN PROCESO
